Displayname ,station_name,topic_heartbeat,topic_heartbeatPI5,topic_meter,topic_PowerModule,topic_Router,Number of Charger heads,topic_PLCData,collection_PowerModule,collection_Meter,collection_Router,collection_StatePLC,collection_HeartbeatFallingEdge,expectedPmHead1,expectedPmHead2,topic_fanRPM
26003,26003,OCPP/26003/heartbeat,OCPP/26003/heartbeatPI5,,,26003,2,OCPP/26003/PLC,,,26003,,,2,3,
26004,26004,OCPP/26004/heartbeat,OCPP/26004/heartbeatPI5,,,26004,2,OCPP/26004/PLC,,,26004,,26004,2,3,
26005,26005,OCPP/26005/heartbeat,OCPP/26005/heartbeatPI5,,,26005,2,OCPP/26005/PLC,,,26005,,,2,3,
26006,26006,OCPP/26006/heartbeat,OCPP/26006/heartbeatPI5,,,26006,2,OCPP/26006/PLC,,,26006,,,2,3,
7Eleven_Banklangmueang,7Eleven_Banklangmueang,OCPP/7Eleven_Banklangmueang/heartbeat,OCPP/7Eleven_Banklangmueang/heartbeatPI5,OCPP/7Eleven_Banklangmueang/meter,OCPP/7Eleven_Banklangmueang/PowerModule,7Eleven_Banklangmueang,2,OCPP/7Eleven_Banklangmueang/PLC,7Eleven_Banklangmueang,7Eleven_Banklangmueang,7Eleven_Banklangmueang,7Eleven_Banklangmueang,7Eleven_BanklangmueangHB,2,3,7Eleven_Banklangmueang/RPM
7Eleven_Latphrao126,7Eleven_Latphrao126,OCPP/7Eleven_Latphrao126/heartbeat,OCPP/7Eleven_Latphrao126/heartbeatPI5,OCPP/7Eleven_Latphrao126/meter,OCPP/7Eleven_Latphrao126/PowerModule,7Eleven_Latphrao126,2,OCPP/7Eleven_Latphrao126/PLC,7Eleven_Latphrao126,7Eleven_Latphrao126,7Eleven_Latphrao126,7Eleven_Latphrao126,7Eleven_Latphrao126HB,2,3,7Eleven_Latphrao126/RPM
7Eleven_YaekPinklao,7Eleven_YaekPinklao,OCPP/7Eleven_YaekPinklao/heartbeat,OCPP/7Eleven_YaekPinklao/heartbeatPI5,OCPP/7Eleven_YaekPinklao/meter,OCPP/7Eleven_YaekPinklao/PowerModule,7Eleven_YaekPinklao,2,OCPP/7Eleven_YaekPinklao/PLC,7Eleven_YaekPinklao,7Eleven_YaekPinklao,7Eleven_YaekPinklao,7Eleven_YaekPinklao,7Eleven_YaekPinklao,2,3,7Eleven_YaekPinklao/RPM
Amphawa1,Amphawa1,OCPP/amphawa/heartbeat,OCPP/Amphawa1/heartbeatPI5,OCPP/amphawa/meter,OCPP/Amphawa1/PowerModule,Amphawa1,2,OCPP/Amphawa1/PLC,Amphawa1,amphawa,Amphawa1,Amphawa1,amphawa,2,3,Amphawa1/RPM
Ayuthaya3,Ayuthaya3,OCPP/PT100_Ayuthaya3/heartbeat,OCPP/Ayuthaya3/heartbeatPI5,OCPP/PT100_Ayuthaya3/meter,OCPP/Ayuthaya3/PowerModule,Thaya3,2,OCPP/Ayuthaya3/PLC,Ayuthaya3,Ayuthaya3,Ayuthaya3,Ayuthaya3,Ayuthaya3,2,3,Ayuthaya3/RPM
Banbueng1,Banbueng1,OCPP/Banbueng1_DC_1/heartbeat,OCPP/Banbueng1/heartbeatPI5,OCPP/Banbueng1_DC_1/meter,OCPP/Banbueng1/PowerModule,Bueng1,2,OCPP/Banbueng1/PLC,Banbueng1,Banbueng1,Banbueng1,Banbueng1,Banbueng1,2,3,Banbueng1/RPM
